Model,Confusion_matrix,Accuracy,Precision,Recall,F1 score
LogisticRegression,"[[88 19]
 [ 4 43]]",0.8506493506493507,0.6935483870967742,0.9148936170212766,0.7889908256880734
KNN,"[[86 21]
 [ 5 42]]",0.8311688311688312,0.6666666666666666,0.8936170212765957,0.7636363636363637
SVM,"[[89 18]
 [ 5 42]]",0.8506493506493507,0.7,0.8936170212765957,0.7850467289719626
NaiveBayes,"[[89 18]
 [ 4 43]]",0.8571428571428571,0.7049180327868853,0.9148936170212766,0.7962962962962963
DecisionTree,"[[84 23]
 [ 9 38]]",0.7922077922077922,0.6229508196721312,0.8085106382978723,0.7037037037037037
RandomForest,"[[94 13]
 [ 5 42]]",0.8831168831168831,0.7636363636363637,0.8936170212765957,0.8235294117647058
XGBoost,"[[93 14]
 [ 4 43]]",0.8831168831168831,0.7543859649122807,0.9148936170212766,0.8269230769230769
